Code,Name,Sector,MarketCap,Close,Volume,Volume Spike,Momentum,RSI,Tier
071090,하이스틸,Unknown,89347259175,4425.0,426260.0,0.72,-100.0,67.9,Small Cap
338100,NH프라임리츠,Unknown,88448400000,4740.0,74698.0,1.06,-60.0,18.37,Small Cap
111380,동인기연,Unknown,85240480000,13910.0,16533.0,2.25,50.0,49.48,Small Cap
011390,부산산업,Unknown,88809600000,84100.0,18566.0,2.61,-5300.0,42.67,Small Cap
036580,팜스코,Unknown,87963423485,2395.0,74067.0,1.47,-115.0,21.43,Small Cap
012690,모나리자,Unknown,86308161800,2360.0,74785.0,1.03,-15.0,46.15,Small Cap
007980,TP,Unknown,85206591450,1665.0,1722407.0,1.03,-145.0,31.24,Small Cap
010960,삼호개발,Unknown,83817000000,3475.0,55240.0,1.47,75.0,53.06,Small Cap
007590,동방아그로,Unknown,83748098550,6150.0,3123.0,0.43,10.0,48.15,Small Cap
009200,무림페이퍼,Unknown,83218620000,2000.0,117417.0,0.94,-10.0,37.78,Small Cap
001275,부국증권우,Unknown,83100000000,27700.0,3258.0,0.55,250.0,76.47,Small Cap
004830,덕성,Unknown,82633600000,5270.0,111074.0,0.47,-50.0,46.15,Small Cap
006880,신송홀딩스,Unknown,81619120200,6900.0,72879.0,0.18,-150.0,54.14,Small Cap
001290,상상인증권,Unknown,81036165760,748.0,384565.0,0.48,-21.0,51.84,Small Cap
001470,삼부토건,Unknown,79699592928,347.0,0.0,,0.0,,Small Cap
078935,GS우,Unknown,79692480900,44650.0,7324.0,1.21,-450.0,63.33,Small Cap
001260,남광토건,Unknown,79643833200,8100.0,89191.0,2.59,-440.0,55.0,Small Cap
133820,화인베스틸,Unknown,79081351560,2265.0,261480.0,0.34,-110.0,69.96,Small Cap
129260,인터지스,Unknown,77790690510,2615.0,84600.0,0.89,-80.0,36.36,Small Cap
004720,팜젠사이언스,Unknown,78095783150,4150.0,83290.0,1.15,55.0,33.56,Small Cap
024900,디와이덕양,Unknown,77667477300,2385.0,97952.0,0.31,25.0,67.2,Small Cap
004100,태양금속,Unknown,77620500000,2115.0,163729.0,0.39,-20.0,49.37,Small Cap
014990,인디에프,Unknown,77065932870,1026.0,2958354.0,2.67,-126.0,37.84,Small Cap
003560,IHQ,Unknown,76220934800,10760.0,0.0,,0.0,,Small Cap
016090,대현,Unknown,75855597030,1713.0,215683.0,1.97,-67.0,17.29,Small Cap
001380,SG글로벌,Unknown,76169258242,1694.0,101908.0,0.31,-50.0,57.57,Small Cap
013870,지엠비코리아,Unknown,75240144600,3945.0,30493.0,1.7,-25.0,50.0,Small Cap
009180,한솔로지스틱스,Unknown,74894494500,2660.0,199842.0,2.15,-75.0,22.99,Small Cap
111110,호전실업,Unknown,74539200000,7950.0,50685.0,0.69,-90.0,27.44,Small Cap
100220,비상교육,Unknown,73561554060,5660.0,39642.0,1.27,20.0,56.64,Small Cap
