Code,Name,Sector,MarketCap,Close,Volume,Volume Spike,Momentum,RSI
373220,LG에너지솔루션,Unknown,104715000000000,447500.0,300756.0,0.77,27000.0,74.32
329180,HD현대중공업,Unknown,51222087932000,577000.0,204787.0,1.05,69000.0,76.47
000660,SK하이닉스,Unknown,348349131652500,478500.0,3320834.0,0.85,26000.0,86.04
005380,현대차,Unknown,51598957032000,252000.0,900910.0,1.07,10000.0,80.49
207940,삼성바이오로직스,Unknown,82704188000000,1162000.0,69507.0,0.74,29000.0,85.53
000270,기아,Unknown,45285766050000,115000.0,949328.0,0.92,3700.0,76.06
012450,한화에어로스페이스,Unknown,54090007649000,1049000.0,284405.0,1.24,113000.0,50.57
005935,삼성전자우,Unknown,62340464329600,76400.0,2546893.0,0.76,1500.0,78.87
034020,두산에너빌리티,Unknown,48874815439800,76300.0,5538675.0,0.69,-7400.0,70.25
005930,삼성전자,Unknown,571245059473000,96500.0,18259577.0,0.77,-1200.0,76.61
402340,SK스퀘어,Unknown,33532837074000,253000.0,521837.0,0.86,-4500.0,77.29
068270,셀트리온,Unknown,39860097980400,172600.0,578246.0,0.89,-3400.0,41.18
042660,한화오션,Unknown,41335166850600,134900.0,5914162.0,2.53,25800.0,78.64
105560,KB금융,Unknown,43791849424400,114800.0,763855.0,0.85,1100.0,54.18
035420,NAVER,Unknown,38036764715000,242500.0,2033710.0,0.86,-18000.0,42.31
012330,현대모비스,Unknown,28089298764000,306000.0,143051.0,0.75,-3000.0,60.19
055550,신한지주,Unknown,35586778662200,73300.0,971813.0,0.72,600.0,63.95
028260,삼성물산,Unknown,35015168064000,206000.0,249956.0,0.69,-11000.0,63.06
032830,삼성생명,Unknown,32420000000000,162100.0,220573.0,0.78,-1000.0,62.17
009540,HD한국조선해양,Unknown,31564809736000,446000.0,212404.0,1.0,23500.0,69.8
267260,HD현대일렉트릭,Unknown,26891162710000,746000.0,404203.0,2.68,61000.0,84.71
064350,현대로템,Unknown,26357863759500,241500.0,1674081.0,1.97,34500.0,64.36
051910,LG화학,Unknown,27495717598500,389500.0,867900.0,2.1,77500.0,89.63
015760,한국전력,Unknown,27058785845550,42150.0,2900607.0,0.99,1950.0,72.28
035720,카카오,Unknown,26096770142000,59000.0,2234207.0,0.76,400.0,49.1
086790,하나금융지주,Unknown,24409173887800,87700.0,636057.0,0.89,500.0,51.72
005490,POSCO홀딩스,Unknown,24927349216000,308000.0,558442.0,1.66,21500.0,75.78
010130,고려아연,Unknown,22728334025000,1175000.0,38645.0,0.8,-115000.0,68.85
010140,삼성중공업,Unknown,21032000000000,23900.0,4843926.0,1.01,1600.0,75.63
096770,SK이노베이션,Unknown,21047072106000,124500.0,445469.0,1.04,8500.0,84.21
316140,우리금융지주,Unknown,18792353792000,25600.0,2182493.0,1.24,-50.0,43.88
298040,효성중공업,Unknown,17259738348000,1851000.0,77696.0,1.4,237000.0,85.01
003670,포스코퓨처엠,Unknown,18100555770000,203500.0,408254.0,0.59,12000.0,95.2
000810,삼성화재,Unknown,20912069947500,454500.0,71083.0,0.87,4000.0,52.63
138040,메리츠금융지주,Unknown,20027848653900,114300.0,223260.0,1.01,600.0,53.85
034730,SK,Unknown,16675621690000,230000.0,179766.0,0.64,11500.0,67.41
006400,삼성SDI,Unknown,20791066740000,258000.0,520549.0,0.81,22000.0,88.81
011200,HMM,Unknown,19572187877500,20750.0,1137374.0,0.59,-200.0,52.35
033780,KT&G,Unknown,16470516124800,137400.0,181064.0,0.45,-1300.0,49.51
009150,삼성전기,Unknown,16582000512000,222000.0,637592.0,1.2,20500.0,71.19
259960,크래프톤,Unknown,13507143510000,285000.0,88809.0,0.81,-5000.0,40.19
000150,두산,Unknown,12921638970000,782000.0,117913.0,0.72,176000.0,86.67
018260,삼성에스디에스,Unknown,12666745860000,163700.0,181648.0,0.87,-3900.0,52.89
042700,한미반도체,Unknown,14249173900000,149500.0,993124.0,0.51,3000.0,89.64
267250,HD현대,Unknown,13863286417500,175500.0,139320.0,0.7,15500.0,71.65
024110,기업은행,Unknown,15478036117290,19410.0,739435.0,0.81,150.0,51.81
006800,미래에셋증권,Unknown,13088761563600,22950.0,3060669.0,0.93,750.0,59.0
086280,현대글로비스,Unknown,12630000000000,168400.0,148247.0,0.64,700.0,49.87
030200,KT,Unknown,12550679913000,49800.0,318984.0,0.84,-200.0,40.44
066570,LG전자,Unknown,14692352107400,90200.0,756369.0,0.89,6300.0,82.33
003550,LG,Unknown,12461104068000,80800.0,422245.0,1.4,6700.0,80.0
443060,HD현대마린솔루션,Unknown,10579693560000,236000.0,123034.0,1.24,4000.0,69.94
323410,카카오뱅크,Unknown,10875381963600,22800.0,1105296.0,1.24,50.0,42.86
352820,하이브,Unknown,12016629984500,288500.0,306584.0,1.5,15500.0,64.08
272210,한화시스템,Unknown,10541701906200,55800.0,1357360.0,1.06,3100.0,44.88
079550,LIG넥스원,Unknown,10131000000000,460500.0,336580.0,2.07,15500.0,39.73
017670,SK텔레콤,Unknown,11641620872600,54200.0,624507.0,0.85,-600.0,41.86
047810,한국항공우주,Unknown,9874228339100,101300.0,669301.0,0.93,2600.0,38.58
047050,포스코인터내셔널,Unknown,10520182722400,59800.0,4029985.0,6.59,8100.0,85.9
010120,LS ELECTRIC,Unknown,11010000000000,367000.0,1287804.0,4.76,62000.0,85.34
278470,에이피알,Unknown,9076933837500,242500.0,472563.0,0.95,0.0,60.12
005830,DB손해보험,Unknown,9388080000000,132600.0,188612.0,1.01,-1600.0,36.4
003230,삼양식품,Unknown,9740188395000,1293000.0,53954.0,1.08,-77000.0,33.2
010620,HD현대미포,Unknown,9166723195500,229500.0,308800.0,1.05,28000.0,75.07
071050,한국금융지주,Unknown,9373111854400,168200.0,315126.0,1.07,11900.0,70.28
000100,유한양행,Unknown,9236354473500,115500.0,447737.0,1.23,-1300.0,52.25
326030,SK바이오팜,Unknown,8324698475000,106300.0,145082.0,0.87,3500.0,63.33
005940,NH투자증권,Unknown,7251607909150,20350.0,537847.0,0.78,100.0,58.82
010950,S-Oil,Unknown,8229802095200,73100.0,457145.0,1.19,4800.0,72.73
003490,대한항공,Unknown,8284964872500,22500.0,1216889.0,0.81,150.0,47.37
377300,카카오페이,Unknown,7108212617200,52600.0,534383.0,0.82,1100.0,48.39
000880,한화,Unknown,7113583951500,94900.0,382087.0,1.51,11500.0,70.63
034220,LG디스플레이,Unknown,7075000000000,14150.0,1914406.0,0.66,-230.0,51.21
090430,아모레퍼시픽,Unknown,6984035424600,119400.0,199189.0,1.02,900.0,43.48
016360,삼성증권,Unknown,6760010000000,75700.0,303327.0,0.93,100.0,61.38
039490,키움증권,Unknown,6921800270000,262000.0,125758.0,0.84,7000.0,55.56
180640,한진칼,Unknown,6656199216300,99700.0,72983.0,0.86,-100.0,50.31
006260,LS,Unknown,6530200000000,206000.0,281857.0,1.47,22200.0,95.99
005387,현대차2우B,Unknown,6653635879000,190300.0,117315.0,0.78,10000.0,82.35
021240,코웨이,Unknown,6637212975900,92300.0,166396.0,0.88,-2200.0,15.93
032640,LG유플러스,Unknown,6481811593400,15080.0,819234.0,0.81,-130.0,52.1
064400,LG씨엔에스,Unknown,5929420017600,61200.0,716756.0,0.94,-2200.0,40.12
000720,현대건설,Unknown,6358414181500,57100.0,717898.0,0.74,-4100.0,55.78
007660,이수페타시스,Unknown,6342556521600,86400.0,1107594.0,0.69,3700.0,71.65
028050,삼성E&A,Unknown,5938800000000,30300.0,2478566.0,3.34,2000.0,76.03
241560,두산밥캣,Unknown,5837634358500,60900.0,429560.0,1.33,1700.0,83.51
029780,삼성카드,Unknown,5723429215400,49400.0,56160.0,0.84,-250.0,33.06
