Code,Name,Sector,MarketCap,Close,Volume,Volume Spike,Momentum,RSI
373220,LG에너지솔루션,Unknown,113841000000000,486500.0,728528.0,1.43,39000.0,81.91
329180,HD현대중공업,Unknown,52731230904000,594000.0,243441.0,1.13,17000.0,70.68
005380,현대차,Unknown,54260807990000,265000.0,2958411.0,3.0,13000.0,82.43
005930,삼성전자,Unknown,616234307680200,104100.0,34365446.0,1.42,7600.0,68.87
000660,SK하이닉스,Unknown,413505343320000,568000.0,4877119.0,1.17,89500.0,81.82
207940,삼성바이오로직스,Unknown,86903454000000,1221000.0,0.0,0.0,59000.0,86.57
005935,삼성전자우,Unknown,67317909780000,82500.0,6213951.0,1.7,6100.0,69.95
034020,두산에너빌리티,Unknown,57458334796200,89700.0,10224579.0,1.2,13400.0,66.1
012450,한화에어로스페이스,Unknown,51254020594000,994000.0,150339.0,0.7,-55000.0,44.26
000270,기아,Unknown,45758313174000,116200.0,2737130.0,2.38,1200.0,81.71
402340,SK스퀘어,Unknown,37243981098000,281000.0,567891.0,0.94,28000.0,64.05
105560,KB금융,Unknown,44173311527400,115800.0,930628.0,0.98,1000.0,56.25
267260,HD현대일렉트릭,Unknown,31901714475000,885000.0,209958.0,1.21,139000.0,87.13
055550,신한지주,Unknown,35586778662200,73300.0,1515382.0,1.17,0.0,54.55
032830,삼성생명,Unknown,31480000000000,157400.0,307369.0,1.09,-4700.0,46.41
009540,HD한국조선해양,Unknown,32661793034000,461500.0,298343.0,1.21,15500.0,66.2
028260,삼성물산,Unknown,38584675488000,227000.0,540182.0,1.33,21000.0,63.05
068270,셀트리온,Unknown,40437445865400,175100.0,730871.0,1.27,2500.0,52.35
035420,NAVER,Unknown,40075849009000,255500.0,1393179.0,0.67,13000.0,41.3
042660,한화오션,Unknown,43204288554000,141000.0,6588962.0,2.15,6100.0,74.57
012330,현대모비스,Unknown,28181093858000,307000.0,313371.0,1.64,1000.0,58.82
051910,LG화학,Unknown,28589898915000,405000.0,421263.0,0.86,15500.0,89.13
010140,삼성중공업,Unknown,26664000000000,30300.0,12892031.0,1.6,6400.0,86.92
064350,현대로템,Unknown,25266440829500,231500.0,571881.0,0.77,-10000.0,55.67
096770,SK이노베이션,Unknown,22754505264800,134600.0,509974.0,0.89,10100.0,83.62
086790,하나금융지주,Unknown,23908187422600,85900.0,1440243.0,1.7,-1800.0,49.58
015760,한국전력,Unknown,27572357107150,42950.0,3037479.0,0.91,800.0,70.57
006400,삼성SDI,Unknown,26230590015000,325500.0,1784094.0,1.65,67500.0,87.62
035720,카카오,Unknown,28087201763000,63500.0,5185767.0,1.55,4500.0,52.85
005490,POSCO홀딩스,Unknown,25858078164000,319500.0,574662.0,1.39,11500.0,84.24
000810,삼성화재,Unknown,20543980707500,446500.0,71167.0,0.86,-8000.0,45.61
010130,고려아연,Unknown,20716634673000,1071000.0,55737.0,0.99,-104000.0,56.11
316140,우리금융지주,Unknown,18718946160000,25500.0,2384761.0,1.36,-100.0,51.9
298040,효성중공업,Unknown,19581550800000,2100000.0,62076.0,1.19,249000.0,86.0
003670,포스코퓨처엠,Unknown,19568168400000,220000.0,951297.0,1.1,16500.0,79.32
267250,HD현대,Unknown,16588547850000,210000.0,385974.0,1.59,34500.0,81.4
138040,메리츠금융지주,Unknown,19379528093800,110600.0,243986.0,1.09,-3700.0,48.13
011200,HMM,Unknown,19572187877500,20750.0,1574965.0,0.89,0.0,60.53
034730,SK,Unknown,17944418992500,247500.0,188268.0,0.7,17500.0,68.15
009150,삼성전기,Unknown,16806081600000,225000.0,787280.0,1.39,3000.0,61.87
033780,KT&G,Unknown,16122885144000,134500.0,218507.0,0.67,-2900.0,47.95
000150,두산,Unknown,15697643250000,950000.0,133941.0,0.76,168000.0,88.34
259960,크래프톤,Unknown,12843734976000,271000.0,127268.0,1.17,-14000.0,21.3
352820,하이브,Unknown,13660808139000,324500.0,624526.0,2.2,36000.0,76.0
018260,삼성에스디에스,Unknown,13030421520000,168400.0,410966.0,1.74,4700.0,49.04
010120,LS ELECTRIC,Unknown,13185000000000,439500.0,320830.0,1.02,72500.0,88.95
006800,미래에셋증권,Unknown,14657131685600,25700.0,3985818.0,1.06,2750.0,64.48
024110,기업은행,Unknown,15278679650040,19160.0,1206779.0,1.33,-250.0,54.68
042700,한미반도체,Unknown,13677300700000,143500.0,2231637.0,0.99,-6000.0,70.4
066570,LG전자,Unknown,14268847501200,87600.0,752690.0,0.88,-2600.0,71.08
272210,한화시스템,Unknown,11901921507000,63000.0,10259297.0,6.6,7200.0,59.7
003550,LG,Unknown,12754125079500,82700.0,297620.0,0.9,1900.0,87.5
086280,현대글로비스,Unknown,12825000000000,171000.0,222718.0,1.2,2600.0,59.18
030200,KT,Unknown,12437270154750,49350.0,362593.0,1.03,-450.0,44.79
443060,HD현대마린솔루션,Unknown,10960741845000,244500.0,104025.0,1.01,8500.0,61.76
323410,카카오뱅크,Unknown,10875381963600,22800.0,921720.0,1.06,0.0,46.88
003230,삼양식품,Unknown,9958645830000,1322000.0,122080.0,2.17,29000.0,35.27
079550,LIG넥스원,Unknown,11286000000000,513000.0,153137.0,0.89,52500.0,60.86
047810,한국항공우주,Unknown,10283623788500,105500.0,669262.0,1.08,4200.0,47.4
017670,SK텔레콤,Unknown,11319435793100,52700.0,2076493.0,2.41,-1500.0,32.73
278470,에이피알,Unknown,9488671042500,253500.0,645518.0,1.29,11000.0,47.71
000100,유한양행,Unknown,9276338692000,116000.0,343315.0,0.96,500.0,39.37
071050,한국금융지주,Unknown,9896936179200,177600.0,450343.0,1.33,9400.0,73.36
010620,HD현대미포,Unknown,9506231462000,238000.0,389356.0,1.18,8500.0,72.67
005830,DB손해보험,Unknown,9076560000000,128200.0,168465.0,0.9,-4400.0,37.81
326030,SK바이오팜,Unknown,8880722550000,113400.0,212968.0,1.2,7100.0,67.79
047050,포스코인터내셔널,Unknown,9869268406800,56100.0,1543210.0,1.95,-3700.0,70.37
003490,대한항공,Unknown,8284964872500,22500.0,2531185.0,1.67,0.0,48.33
010950,S-Oil,Unknown,8207285536800,72900.0,194749.0,0.48,-200.0,66.14
007660,이수페타시스,Unknown,7898831964400,107600.0,1384246.0,0.77,21200.0,84.96
039490,키움증권,Unknown,7915091657500,299500.0,244710.0,1.45,37500.0,70.76
000720,현대건설,Unknown,7672412208500,68900.0,2090839.0,1.3,11800.0,66.84
180640,한진칼,Unknown,7644280945500,114500.0,157856.0,1.64,14800.0,84.62
000880,한화,Unknown,7360947777000,98200.0,580021.0,1.63,3300.0,65.5
005387,현대차2우B,Unknown,7220051545000,206500.0,401966.0,2.41,16200.0,88.48
377300,카카오페이,Unknown,7081185192800,52400.0,571468.0,0.92,-200.0,48.36
005940,NH투자증권,Unknown,7162521816900,20100.0,888198.0,1.08,-250.0,56.51
090430,아모레퍼시픽,Unknown,7118568770300,121700.0,347367.0,1.64,2300.0,54.26
034220,LG디스플레이,Unknown,6975000000000,13950.0,4726094.0,1.57,-200.0,31.73
064400,LG씨엔에스,Unknown,6103814724000,63000.0,1606807.0,2.15,1800.0,41.95
016360,삼성증권,Unknown,6929680000000,77600.0,480011.0,1.3,1900.0,61.38
006260,LS,Unknown,6894750000000,217500.0,300079.0,1.43,11500.0,92.86
